d	42017
u	18376
в	14983
min	12069
go	10913
l	8962
xə	8485
lə	5981
av	5809
qə	5637
ki	5346
al	4740
inə	4729
kəd	3980
ənə	3913
вit	3881
əx	3425
əhə	2857
вar	2692
əj	2558
up	2434
raвa	2384
zi	2298
hər	2242
ijvə	2240
le	2198
вut	2172
kulle	2072
dana	2067
вuş	2024
qəm	2016
qəd	1946
ənij	1740
hic	1602
am	1469
mindij	1443
nəşə	1437
xinə	1436
hədxə	1414
gənu	1414
in	1379
mirri	1377
dəhə	1373
вetə	1338
əxcij	1243
levə	1201
spaj	1175
nəşi	1172
ədijə	1129
ət	1117
midri	1117
qələ	1111
ijmən	1084
kul	1082
əxnən	1073
hədə	1072
leli	1067
ijlə	1028
xəccə	997
ənni	994
urxə	988
enij	960
xəkmə	960
şula	951
məri	929
tre	924
jumə	908
həl	904
qətu	893
hala	866
jən	866
qətij	864
ijli	859
dlə	856
lkis	833
ləxxə	831
cim	825
dəxij	793
gəhi	759
alma	744
ijdu	716
rişu	714
xəsqo	714
giвə	706
kis	698
mətə	693
ajnu	688
zodə	683
həvi	668
xini	666
tama	665
o	665
lazьm	658
ekə	631
вəs	618
hojə	614
qəmetə	608
jələ	605
kulli	599
mudij	594
kmə	584
mal	584
gura	576
səvə	573
1	570
ijtə	565
vili	564
gəhə	560
allu	557
mijə	555
it	555
gərəg	555
ələhə	553
dəj	539
ijnə	538
çəldi	532
xdə	527
e	527
tili	521
şurьlь	517
rişə	511
şinni	511
mud	510
kullə	505
dukə	504
arra	496
tənit	496
tarra	491
duz	491
rixqə	489
jəli	485
lelə	485
tammam	483
xəjji	480
vilə	480
gurta	467
xut	463
udalь	454
lit	454
minne	453
dijən	443
ləxmə	441
qujə	440
mdijtə	440
ţla	431
səвəв	430
juməni	425
itvə	423
mu	422
xişli	417
вuqьrrь	413
şitə	406
gəne	404
əqlu	402
dijij	398
вəxtə	396
xitə	396
xuş	391
peşə	388
вəhə	387
вrətə	385
gəno	380
xelə	377
ijdə	376
nansen	376
jəmə	375
pətə	373
uxcə	366
təhər	366
qurвə	366
mirrə	359
əxtun	358
lenə	357
zuzi	354
egə	351
qəli	351
do	347
dəqijqə	341
nijxə	339
pijşivə	338
ajnь	338
çuviвli	337
xaвrь	336
